iter	RMSE
0	11379.49606
1	10751.80706
2	10097.60549
3	9543.195138
4	9054.806772
5	8595.865485
6	8138.673143
7	7739.778401
8	7404.680139
9	7075.970145
10	6780.301748
11	6507.337972
12	6278.914257
13	6071.149738
14	5894.395952
15	5716.352768
16	5560.377127
17	5418.308043
18	5318.042155
19	5202.7681
20	5106.403467
21	5025.737679
22	4939.106681
23	4869.806042
24	4810.728258
25	4750.231212
26	4696.469596
27	4659.244403
28	4622.075911
29	4585.784338
30	4552.60921
31	4525.8733
32	4503.837477
33	4482.387669
34	4457.659785
35	4437.94262
36	4425.684823
37	4408.87001
38	4395.014509
39	4376.652994
40	4361.658231
41	4347.231273
42	4335.05822
43	4321.277248
44	4311.055559
45	4299.915253
46	4294.286275
47	4287.924047
48	4284.686842
49	4278.526653
50	4271.961445
51	4264.442112
52	4256.574066
53	4248.632794
54	4242.506283
55	4237.879167
56	4233.275694
57	4228.610428
58	4223.615772
59	4217.764476
60	4212.994297
61	4207.343022
62	4203.046315
63	4201.931439
64	4197.31737
65	4193.393132
66	4192.711831
67	4184.827874
68	4181.644626
69	4176.488614
70	4168.211948
71	4164.872351
72	4162.323966
73	4158.874547
74	4154.07841
75	4152.528111
76	4148.343232
77	4145.899306
78	4142.211317
79	4135.393452
80	4130.920569
81	4123.62112
82	4121.590864
83	4115.811191
84	4112.810372
85	4111.664167
86	4103.420902
87	4100.437063
88	4097.677609
89	4093.89068
90	4090.297476
91	4088.251039
92	4084.860705
93	4079.711694
94	4075.475871
95	4067.796851
96	4064.946049
97	4062.732233
98	4059.414944
99	4058.017797
