iter	Passed	Remaining
0	3	307
1	7	345
2	11	385
3	19	477
4	22	433
5	25	403
6	29	392
7	34	396
8	36	373
9	39	356
10	41	337
11	43	321
12	46	311
13	49	301
14	51	290
15	53	281
16	55	271
17	57	263
18	66	282
19	69	277
20	71	270
21	74	263
22	80	268
23	82	261
24	86	260
25	92	262
26	94	256
27	98	254
28	101	249
29	103	241
30	105	235
31	110	234
32	115	234
33	120	234
34	122	228
35	125	222
36	127	217
37	130	213
38	133	208
39	135	202
40	137	198
41	142	196
42	145	192
43	147	187
44	149	182
45	151	178
46	155	174
47	158	171
48	160	166
49	162	162
50	165	158
51	169	156
52	171	152
53	175	149
54	177	145
55	179	141
56	183	138
57	187	135
58	189	131
59	192	128
60	195	125
61	199	122
62	202	118
63	204	115
64	208	112
65	210	108
66	212	104
67	215	101
68	224	100
69	226	97
70	228	93
71	230	89
72	233	86
73	236	83
74	238	79
75	240	76
76	243	72
77	246	69
78	250	66
79	253	63
80	255	59
81	257	56
82	260	53
83	262	50
84	264	46
85	266	43
86	268	40
87	271	36
88	281	34
89	283	31
90	286	28
91	290	25
92	294	22
93	297	18
94	299	15
95	303	12
96	306	9
97	309	6
98	312	3
99	314	0
